電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,停車場坡道,建築物名稱
D027,三林里,桃園市龍潭區民族路434巷20號,"24.83075385957684, 121.23354870895012",2,2236,龍潭分局,,O,興陽建設
D028,三林里,桃園市龍潭區三林里三角林街9號,"24.845093312361275, 121.22808292584033",2,573,龍潭分局,,O,全國農業金庫
D029,富林里,"桃園市龍潭區富林里民生路141巷150號 ","24.83049204631775, 121.23284366906613",3,6114,龍潭分局,,O,名人堂花園大飯店股份有限公司
D030,三林里,桃園市龍潭區三林里三角林街56號,"24.824878221511753, 121.24164013748455",1,212,龍潭分局,,,泳昇機械公司
D031,大平里,桃園市龍潭區大平里民有一街199號,"24.82067477322432, 121.23751078442598",3,2769,龍潭分局,,O,合眾建築經理股份有限公司
D032,大平里,桃園市龍潭區大平里民治路355號,"24.84906699599314, 121.24462068797195",1,209,龍潭分局,,O,傅紹恩
D033,佳安里,桃園市龍潭區佳安里文化路405巷50-3號,"24.832846236816735, 121.21376985467543",1,1703,龍潭分局,,O,肯納園股份有限公司
D034,大平里,桃園市龍潭區大平里民有一街233-25號,"24.824280966964842, 121.24132455801569",3,3285,龍潭分局,,O,中國建築經理股份有限公司
D035,三坑里,桃園市龍潭區三坑里永昌路51巷21號,"24.835356152059738, 121.24774153407313",1,2062,龍潭分局,,O,合眾建築
E001,高平里,桃園市龍潭區高平里高楊南路320巷6弄2號,"24.83288006818208, 121.2137533107909",2,52,龍潭分局,,,鋐特科技公司
E002,高平里,桃園市龍潭區高平里高楊南路320巷12弄6號,"24.83276415770958, 121.21355966816891",1,32,龍潭分局,,,奇哥工業公司
E003,高平里,桃園市龍潭區高平里高楊南路320巷2號,"24.833064084066805, 121.21406309700446",1,63,龍潭分局,,,台灣淯倫公司
E004,高平里,桃園市龍潭區高平里高楊南路320巷12弄9號,"24.832719935040274, 121.21347233907426",1,55,龍潭分局,,,吉泰橡膠公司
E005,高平里,桃園市龍潭區高平里高楊南路384號,"24.8318986314053, 121.21440445715751",1,277,龍潭分局,,,鏡林實業公司
E007,高平里,桃園市龍潭區高平里高楊南路368號,"24.832031398065116, 121.21425783159494",1,35,龍潭分局,,,欣能工業公司
E008,高平里,桃園市龍潭區高平里中豐路高平段403號,"24.833467894365665, 121.20620875097823",1,1333,龍潭分局,,,金海發建設公司
E009,高平里,桃園市龍潭區高平里高楊南路320巷10號,"24.832831220882635, 121.21376164118199",1,466,龍潭分局,,,諠響企業公司
E011,高原里,桃園市龍潭區高原里中原路2段374號,"24.837762729780447, 121.19474385097838",1,1651,龍潭分局,,,和鑫開發公司
E012,高原里,桃園市龍潭區高原里高原路367巷184號,"24.830395545909838, 121.19809922806489",1,61,龍潭分局,,,巨樺橡膠公司
E013,高平里,桃園市龍潭區高平里高楊北路109號,"24.831917, 121.1591889",1,312,龍潭分局,,,建越工業公司
E014,高原里,桃園市龍潭區高原里中原路二段176號,"24.842222939762372, 121.19644915467572",1,81,龍潭分局,,,萬代輪胎公司
E015,高原里,桃園市龍潭區高原里中原路二段100號,"24.844008463751795, 121.19741682399163",2,1347,龍潭分局,,O,東培工業公司
E016,高原里,桃園市龍潭區高原里中原路二段46號,"24.84487805579808, 121.19785206816907",1,355,龍潭分局,,,東培工業公司
E017,高原里,桃園市龍潭區高原里中原路二段46號,"24.84487805579808, 121.19785206816907",1,381,龍潭分局,,,東培工業公司
E018,高原里,桃園市龍潭區高原里中原路三段390號,"24.824232729343425, 121.19204824854259",1,201,龍潭分局,,,福山紙器公司
E020,高平里,桃園市龍潭區高平里龍源路800號,"24.818276859851036, 121.22096122290075",1,213,龍潭分局,,,福豐產業
