類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
一般建築,ZN2373,稔田里,高雄市楠梓區稔田里高楠公路1001號,"22.714493,120.32546",1,2489.0,楠梓分局,
一般建築,ZN2616,金田里,高雄市楠梓區金田里高峰街63號,"22.720403,120.315644",1.2,2496.0,楠梓分局,
一般建築,ZN2290,翠屏里,高雄市楠梓區翠屏里德民路356巷60弄2號,"22.728836,120.304922",1,2504.0,楠梓分局,
一般建築,ZN2538,宏昌里,高雄市楠梓區宏昌里藍昌路360巷70號,"22.722306,120.29266",1.2,2512.0,楠梓分局,
一般建築,ZN2483,翠屏里,高雄市楠梓區翠屏里德民路450號,"22.724701,120.300085",1.2,2523.0,楠梓分局,
一般建築,ZN2423,宏昌里,高雄市楠梓區宏昌里德民路829號,"22.721419,120.291783",1,2548.0,楠梓分局,
一般建築,ZN2334,翠屏里,高雄市楠梓區翠屏里加仁路13巷1號,"22.727758,120.299884",1,2548.0,楠梓分局,
一般建築,ZN2516,藍田里,高雄市楠梓區藍田里大學二十五路130號,"22.726344,120.282386",1,2630.0,楠梓分局,
一般建築,ZN2379,五常里,高雄市楠梓區五常里興楠路151巷7號,"22.730685,120.336495",1,2633.0,楠梓分局,
一般建築,ZN2473,宏榮里,高雄市楠梓區宏榮里榮昌街6號,"22.714511,120.298165",1.2,2659.0,楠梓分局,
學校,ZN2480,瑞屏里,高雄市楠梓區瑞屏里海專路142號,"22.724713,120.314498",1,2695.0,楠梓分局,
一般建築,ZN2431,惠豐里,高雄市楠梓區惠豐里惠豐街206巷26號,"22.729438,120.318368",1.2,2775.0,楠梓分局,
一般建築,ZN2323,清豐里,高雄市楠梓區清豐里清平街47號,"22.736529,120.338828",1,2777.0,楠梓分局,
一般建築,ZN2604,宏昌里,高雄市楠梓區宏昌里藍昌路250號,"22.71955,120.290806",1.2,2858.0,楠梓分局,
一般建築,ZN2611,興昌里,高雄市楠梓區興昌里右昌街751巷23號,"22.718468,120.283096",1.2.3,2962.0,楠梓分局,
一般建築,ZN2294,翠屏里,高雄市楠梓區翠屏里德賢路220巷67號,"22.728165,120.306223",1,2970.0,楠梓分局,
一般建築,ZN2293,翠屏里,高雄市楠梓區翠屏里德民路400巷37弄8號,"22.72652329,120.299658580821",1,2974.0,楠梓分局,
一般建築,ZN2407,惠豐里,高雄市楠梓區惠豐里高楠公路1753號,"22.728083,120.32101",1,2995.0,楠梓分局,
一般建築,ZN2338,仁昌里,高雄市楠梓區仁昌里惠民路48號,"22.724834,120.298544",1.2,3007.0,楠梓分局,
一般建築,ZN2495,翠屏里,高雄市楠梓區翠屏里德豐街165號,"22.725916,120.298236",1,3049.0,楠梓分局,
一般建築,ZN2325,清豐里,高雄市楠梓區清豐里清平街51巷44號,"22.73707658,120.337877467349",1,3094.0,楠梓分局,
一般建築,ZN2377,清豐里,高雄市楠梓區清豐里旗楠路126巷109號,"22.730582,120.331739",1,3142.0,楠梓分局,
一般建築,ZN2459,加昌里,高雄市楠梓區加昌里壽民路178號,"22.717537,120.29612",1.2,3213.0,楠梓分局,
一般建築,ZN2452,瑞屏里,高雄市楠梓區瑞屏里瑞屏路66巷2號,"22.723523,120.31168",1.2,3281.0,楠梓分局,
一般建築,ZN2497,五常里,高雄市楠梓區五常里楠裕街22號,"22.732313,120.331236",1.2.3,3308.0,楠梓分局,
一般建築,ZN2283,清豐里,高雄市楠梓區清豐里清平街50號,"22.736059,120.338856",1,3373.0,楠梓分局,
一般建築,ZN2378,五常里,高雄市楠梓區五常里興楠路298號,"22.729797,120.332453",1,3375.0,楠梓分局,
一般建築,ZN2457,東寧里,高雄市楠梓區東寧里土庫一路199號,"22.736084,120.328616",1.2,3470.0,楠梓分局,
一般建築,ZN2617,五常里,高雄市楠梓區五常里興西路132號,"22.728092,120.333294",1.2.3.4,3471.0,楠梓分局,
一般建築,ZN2540,翠屏里,高雄市楠梓區翠屏里德富街306號,"22.729925,120.298368",1,3490.0,楠梓分局,
一般建築,ZN2590,清豐里,高雄市楠梓區清豐里寶溪北街6號,"22.746523,120.333326",1.2,3518.0,楠梓分局,
一般建築,ZN2522,五常里,高雄市楠梓區五常里常興街87號,"22.732844,120.337368",1,3521.0,楠梓分局,
一般建築,ZN2485,藍田里,高雄市楠梓區藍田里大學十一街66號,"22.72511,120.28793",1.2,3564.0,楠梓分局,
一般建築,ZN2296,五常里,高雄市楠梓區五常里常德路317巷4號,"22.737324,120.336905",1,3671.0,楠梓分局,
一般建築,ZN2316,清豐里,高雄市楠梓區清豐里旗楠路長安巷30弄2號,"22.73101,120.329975",1,3694.0,楠梓分局,
一般建築,ZN2530,藍田里,高雄市楠梓區藍田里高雄大學路180號,"22.726324,120.286007",1.2,3840.0,楠梓分局,
一般建築,ZN2467,五常里,高雄市楠梓區五常里興楠路355巷82弄25號,"22.728321,120.332883",1.2,3844.0,楠梓分局,
一般建築,ZN2383,翠屏里,高雄市楠梓區翠屏里德祥路5號,"22.729037,120.311378",1.2,3856.0,楠梓分局,
一般建築,ZN2428,惠民里,高雄市楠梓區惠民里惠豐街248號,"22.7296,120.31733",1,3858.0,楠梓分局,
一般建築,ZN2541,中和里,高雄市楠梓區中和里德中路268號之1,"22.72556327,120.275545496185",1,3878.0,楠梓分局,
一般建築,ZN2326,五常里,高雄市楠梓區五常里常德路240巷23弄17號,"22.736073,120.337659",1,3885.0,楠梓分局,
一般建築,ZN2535,中和里,高雄市楠梓區中和里大學五十六街129號,"22.728514,120.2747",1.2.3,3891.0,楠梓分局,
學校,ZN2418,國昌里,高雄市楠梓區國昌里德民路1010號,"22.719434,120.286067",1,3892.0,楠梓分局,
一般建築,ZN2474,宏榮里,高雄市楠梓區宏榮里榮新街17號,"22.714462,120.297607",1.2,3972.0,楠梓分局,
一般建築,ZN2455,加昌里,高雄市楠梓區加昌里加宏路22巷9號,"22.719086,120.297498",1,4027.0,楠梓分局,
一般建築,ZN2458,翠屏里,高雄市楠梓區翠屏里德民路22之6號,"22.732657,120.318181",1,4156.0,楠梓分局,
一般建築,ZN2520,藍田里,高雄市楠梓區藍田里大學二十六街30號,"22.729081,120.291151",1.2,4162.0,楠梓分局,
一般建築,ZN2482,宏昌里,高雄市楠梓區宏昌里藍昌路320號,"22.72253838,120.291369367349",1.2,4196.0,楠梓分局,
一般建築,ZN2432,惠豐里,高雄市楠梓區惠豐里惠春街161號,"22.727806,120.318502",1,4251.0,楠梓分局,
一般建築,ZN2630,中和里,高雄市楠梓區中和里大學三十三街62號,"22.720996896068502, 120.27762023054282",1.2,4358.0,楠梓分局,
一般建築,ZN2496,裕昌里,高雄市楠梓區裕昌里裕昌街167號,"22.71692,120.288335",1.2.3,4360.0,楠梓分局,
一般建築,ZN2598,藍田里,高雄市楠梓區藍田里援中路100號,"22.727229,120.296193",1.2.3,4368.0,楠梓分局,
一般建築,ZN2450,清豐里,高雄市楠梓區清豐里卓越路51巷6號,"22.751234,120.332716",1,4424.0,楠梓分局,
一般建築,ZN2555,中和里,高雄市楠梓區中和里大學二十六街321號,"22.72940979,120.287282567349",1.2,4524.0,楠梓分局,
