類別,電腦編號,村里別,地址,緯經度,避難樓層,可容納人數,轄管分局,備註
一般住宅,COA00291,安富里,臺南市安南區安富里19鄰安富街199巷3弄6號,"23.026406,120.197281",B01,57.0,第三分局,
一般住宅,COA00292,安富里,臺南市安南區安富里19鄰安富街199巷3弄7號,"23.026612,120.197301",B01,57.0,第三分局,
一般住宅,COA00293,安富里,臺南市安南區安富里19鄰安富街199巷3弄8號,"23.026415,120.19734",B01,57.0,第三分局,
一般住宅,COA00294,安富里,臺南市安南區安富里19鄰安富街199巷3弄9號,"23.026624,120.197357",B01,57.0,第三分局,
一般住宅,COA00295,安富里,臺南市安南區安富里19鄰安富街199巷3弄10號,"23.026425,120.197404",B01,57.0,第三分局,
一般住宅,COA00296,安富里,臺南市安南區安富里19鄰安富街199巷3弄11號,"23.026629,120.197429",B01,57.0,第三分局,
一般住宅,COA00297,安富里,臺南市安南區安富里19鄰安富街199巷3弄12號,"23.02644,120.197469",B01,57.0,第三分局,
一般住宅,COA00298,安富里,臺南市安南區安富里19鄰安富街199巷3弄13號,"23.026636,120.197492",B01,57.0,第三分局,
一般住宅,COA00299,安富里,臺南市安南區安富里19鄰安富街199巷3弄14號,"23.026454,120.197525",B01,57.0,第三分局,
一般住宅,COA00300,安富里,臺南市安南區安富里19鄰安富街199巷3弄15號,"23.026651,120.197552",B01,57.0,第三分局,
一般住宅,COA00301,安富里,臺南市安南區安富里19鄰安富街199巷3弄16號,"23.026461,120.197596",B01,57.0,第三分局,
一般住宅,COA00302,安富里,臺南市安南區安富里19鄰安富街199巷3弄17號,"23.026665,120.197613",B01,57.0,第三分局,
一般住宅,COA00303,安富里,臺南市安南區安富里19鄰安富街199巷3弄18號,"23.026464,120.197661",B01,57.0,第三分局,
一般住宅,COA00304,安富里,臺南市安南區安富里19鄰安富街199巷3弄19號,"23.026679,120.197675",B01,57.0,第三分局,
一般住宅,COA00305,安富里,臺南市安南區安富里19鄰安富街199巷3弄20號,"23.026485,120.197715",B01,57.0,第三分局,
公有,COA00315,媽祖宮里,臺南市安南區媽祖宮里3鄰安中路五段265號,"23.057106,120.149046",B01,931.0,第三分局,
公有,COA00318,鹿耳里,臺南市安南區鹿耳里3鄰顯宮二街1號,"23.036376,120.126529",B01,111.0,第三分局,
公有,COA00320,媽祖宮里,臺南市安南區媽祖宮里3鄰安中路五段265號,"23.057106,120.149046",B01,640.0,第三分局,
公有,COA00321,佃西里,臺南市安南區佃西里13鄰海佃路四段493號,"23.063806,120.173272",B01,124.0,第三分局,
公有,COA00323,南興里,臺南市安南區南興里4鄰公學路五段627號,"23.073761,120.160466",B01,451.0,第三分局,
一般住宅,COA00324,佃東里,臺南市安南區佃東里7鄰公學路四段122巷79號,"23.069429,120.17605",B01,177.0,第三分局,
一般住宅,COA00325,學東里,臺南市安南區學東里4鄰公學路六段509號,"23.07797,120.146714",B01,44.0,第三分局,
一般住宅,COA00326,新順里,臺南市安南區新順里14鄰永安路108號,"23.043828,120.222838",B01,288.0,第三分局,
一般住宅,COA00327,新順里,臺南市安南區新順里10鄰政安路80號,"23.040882,120.219442",B01,1052.0,第三分局,
一般住宅,COA00328,溪北里,臺南市安南區溪北里3鄰郡安路四段46號,"23.02804,120.21221",B01,13.0,第三分局,
公有,COA00329,淵東里,臺南市安南區淵東里10鄰仁安路70號,"23.050138,120.176109",B01,849.0,第三分局,
一般住宅,COA00330,溪頂里,臺南市安南區溪頂里11鄰郡安路四段278巷15弄1號,"23.028127,120.205747",B01,2575.0,第三分局,
一般住宅,COA00331,溪頂里,臺南市安南區溪頂里19鄰郡安路四段253巷61號,"23.027581,120.206823",B01,1303.0,第三分局,
一般住宅,COA00332,溪頂里,臺南市安南區溪頂里6鄰郡安路四段278巷8號,"23.028182,120.205423",B01,1861.0,第三分局,
一般住宅,COA00333,溪頂里,臺南市安南區溪頂里17鄰郡安路四段278巷15弄2號,"23.027743,120.20583",B01,879.0,第三分局,
公有,COA00334,淵東里,臺南市安南區淵東里16鄰安中路三段252號,"23.048549,120.178054",B01,611.0,第三分局,
公有,COA00335,溪東里,臺南市安南區溪東里21鄰郡安路五段56號,"23.028739,120.199816",B01,1916.0,第三分局,
一般住宅,COA00336,南興里,臺南市安南區南興里6鄰公學路五段697巷157號,"23.071601,120.159082",B01,506.0,第三分局,
一般住宅,COA00337,新順里,臺南市安南區新順里10鄰政安路149巷8號,"23.041166,120.222937",B01,622.0,第三分局,
公有,COA00338,州北里,臺南市安南區州北里14鄰安和路五段178巷5號,"23.066628,120.21839",B01,493.0,第三分局,
一般住宅,COA00339,海東里,臺南市安南區海東里17鄰同安路235號,"23.042496,120.192062",B01,1549.0,第三分局,
供公眾使用,COA00340,安慶里,臺南市安南區安慶里12鄰長溪路一段76號,"23.035377,120.211422",B01,555.0,第三分局,
供公眾使用,COA00341,安慶里,臺南市安南區安慶里12鄰長溪路一段76號,"23.035377,120.211422",B01,555.0,第三分局,
公有,COA00342,城西里,臺南市安南區城西里7鄰城西街三段1105巷121弄150號,"23.04618,120.075805",B01,167.0,第三分局,
公有,COA00343,淵東里,臺南市安南區淵東里21鄰本原街三段85號,"23.052948,120.177206",B01,365.0,第三分局,
供公眾使用,COA00344,塩田里,臺南市安南區塩田里7鄰工業二路21號,"23.035636,120.157355",B01,4953.0,第三分局,
公有,COA00346,梅花里,臺南市安南區梅花里17鄰安中路一段703巷80號,"23.040147,120.19311",B01,1111.0,第三分局,
一般住宅,COA00347,布袋里,臺南市安南區布袋里1鄰工明南二路106號,"23.059757,120.204141",B01,106.0,第三分局,
公有,COA00349,州北里,臺南市安南區州北里8鄰安和路五段84巷66號,"23.066147,120.22049",B01,4313.0,第三分局,
供公眾使用,COA00350,塩田里,臺南市安南區塩田里7鄰工環路11號,"23.037227,120.158707",B01,6967.0,第三分局,
公有,COA00351,公塭里,臺南市安南區公塭里5鄰安中路五段188號,"23.057044,120.152604",B01,870.0,第三分局,
公有,COA00352,媽祖宮里,臺南市安南區媽祖宮里3鄰安明路三段500號,"23.050881,120.147093",B01,4868.0,第三分局,
一般住宅,COA00353,塩田里,臺南市安南區塩田里7鄰工環路1號,"23.037541,120.156454",B01,81.0,第三分局,
供公眾使用,COA00354,塩田里,臺南市安南區塩田里7鄰本田路二段498號,"23.035952,120.152865",B01,1233.0,第三分局,
公有,COA00356,州北里,臺南市安南區州北里8鄰安和路五段84巷66號,"23.066147,120.22049",B01,678.0,第三分局,
供公眾使用,COA00358,塩田里,臺南市安南區塩田里7鄰工業二路70號,"23.04109,120.151756",B01,1988.0,第三分局,
