類別,電腦編號,行政區,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,"unnamed (1)","unnamed (2)","unnamed (3)","unnamed (4)","unnamed (5)","unnamed (6)"
一般建築,FS0895,區文山里,文山里,高雄市鳳山區文山里濱山街15巷2號,"22.64546,120.350739",1,795.0,鳳山分局,,,,,,,
一般建築,FS3533,區南和里,南和里,高雄市鳳山區南和里南安路6之1號,"22.588065,120.325484",1,801.0,鳳山分局,,,,,,,
一般建築,FS4559,區新甲里,新甲里,高雄市鳳山區新甲里海洋一路62號,"22.609788,120.343615",1,807.0,鳳山分局,,,,,,,
一般建築,FS5177,區過埤里,過埤里,高雄市鳳山區過埤里7鄰保生路69號,"22.5926,120.359971",1,812.0,鳳山分局,,,,,,,
一般建築,FS1731,區文衡里,文衡里,高雄市鳳山區文衡里建國路3段87號,"22.636471,120.355262",1,817.0,鳳山分局,,,,,,,
一般建築,FS5179,區過埤里,過埤里,高雄市鳳山區過埤里過埤路176號,"22.590382,120.362405",1,819.0,鳳山分局,,,,,,,
一般建築,FS5188,區過埤里,過埤里,高雄市鳳山區過埤里過勇路150號,"22.588459,120.362945",2,824.0,鳳山分局,,,,,,,
一般建築,FS6225,區鎮北里,鎮北里,高雄市鳳山區鎮北里北榮街43號,"22.641815,120.367504",1,831.0,鳳山分局,,,,,,,
一般建築,FS5746,區鳳崗里,鳳崗里,高雄市鳳山區鳳崗里光遠路163號,"22.625268,120.362378",1,841.0,鳳山分局,,,,,,,
一般建築,FS3027,區東門里,東門里,高雄市鳳山區東門里中山東路159號,"22.6234,120.368049",1,846.0,鳳山分局,,,,,,,
一般建築,FS6563,區鎮南里,鎮南里,高雄市鳳山區鎮南里南成街39號,"22.59709,120.331463",1,847.0,鳳山分局,,,,,,,
一般建築,FS0537,區中和里,中和里,高雄市鳳山區中和里裕昌街71號,"22.627088,120.347611",1,855.0,鳳山分局,,,,,,,
一般建築,FS6233,區鎮北里,鎮北里,高雄市鳳山區鎮北里15鄰北榮街3號,"22.641728,120.368382",1,858.0,鳳山分局,,,,,,,
一般建築,FS4104,區曹公里,曹公里,高雄市鳳山區曹公里曹公路21號,"22.626757,120.357173",1,860.0,鳳山分局,,,,,,,
一般建築,FS2570,區和興里,和興里,高雄市鳳山區和興里松江街43之1號,"22.619285,120.357291",1,862.0,鳳山分局,,,,,,,
一般建築,FS1440,區文華里,文華里,高雄市鳳山區文華里文雅東街118之1號,"22.6342,120.36197",1,864.0,鳳山分局,,,,,,,
一般建築,FS4083,區曹公里,曹公里,高雄市鳳山區曹公里曹公路15號,"22.626512,120.357253",1,865.0,鳳山分局,,,,,,,
一般建築,FS3530,區南和里,南和里,高雄市鳳山區南和里南和街101號,"22.59422063,120.335305996095",1,877.0,鳳山分局,,,,,,,
一般建築,FS5954,區龍成里,龍成里,高雄市鳳山區龍成里龍成路34巷53號,"22.596336,120.330779",1,901.0,鳳山分局,,,,,,,
一般建築,FS4072,區埤頂里,埤頂里,高雄市鳳山區埤頂里埤頂46之1號,"22.626763,120.374033",1,913.0,鳳山分局,,,,,,,
一般建築,FS5098,區瑞竹里,瑞竹里,高雄市鳳山區瑞竹里瑞竹路140巷19弄2號,"22.626386,120.368798",1,915.0,鳳山分局,,,,,,,
一般建築,FS0534,區中和里,中和里,高雄市鳳山區中和里中山西路235號,"22.627749,120.348324",1,916.0,鳳山分局,,,,,,,
一般建築,FS2269,區老爺里,老爺里,高雄市鳳山區老爺里南京路88號,"22.608567,120.345768",2,929.0,鳳山分局,,,,,,,
一般建築,FS4077,區曹公里,曹公里,高雄市鳳山區曹公里曹公路55之1號,"22.628765,120.356899",1,930.0,鳳山分局,,,,,,,
一般建築,FS3534,區南和里,南和里,高雄市鳳山區南和里南江街44號,"22.600375,120.337061",1,932.0,鳳山分局,,,,,,,
一般建築,FS4809,區新富里,新富里,高雄市鳳山區新富里凱旋路300巷1號,"22.614225,120.348371",1,933.0,鳳山分局,,,,,,,
一般建築,FS4570,區新甲里,新甲里,高雄市鳳山區新甲里新昌街30號,"22.608142,120.343074",1,934.0,鳳山分局,,,,,,,
一般建築,FS1598,區文德里,文德里,高雄市鳳山區文德里濱山街49號,"22.646101,120.351311",1,936.0,鳳山分局,,,,,,,
一般建築,FS6381,區鎮西里,鎮西里,高雄市鳳山區鎮西里新生街2號,"22.63040807,120.357142285983",2,938.0,鳳山分局,,,,,,,
一般建築,FS4071,區埤頂里,埤頂里,高雄市鳳山區埤頂里埤頂街49-2號,"22.62991564,120.380574236799",1,942.0,鳳山分局,,,,,,,
一般建築,FS6382,區鎮西里,鎮西里,高雄市鳳山區鎮西里新生街2號,"22.63040124474755, 120.35714580247955",1,946.0,鳳山分局,,,,,,,
一般建築,FS1269,區文英里,文英里,高雄市鳳山區文英里八德路2段212巷17號,"22.645961,120.352386",1,952.0,鳳山分局,,,,,,,
一般建築,FS6226,區鎮北里,鎮北里,高雄市鳳山區鎮北里武松街159號,"22.639019,120.363738",1,953.0,鳳山分局,,,,,,,
一般建築,FS4517,區新甲里,新甲里,高雄市鳳山區新甲里新樂街84號,"22.6087259,120.342031472114",1,954.0,鳳山分局,,,,,,,
一般建築,FS2008,區正義里,正義里,高雄市鳳山區正義里五甲三路295巷17號,"22.58866,120.323413",3,957.0,鳳山分局,,,,,,,
一般建築,FS5772,區興中里,興中里,高雄市鳳山區興中里復興街20巷5號,"22.62507,120.354772",1,962.0,鳳山分局,,,,,,,
一般建築,FS1129,區文山里,文山里,高雄市鳳山區文山里文南街171號,"22.640599,120.357404",1,966.0,鳳山分局,,,,,,,
一般建築,FS5097,區瑞竹里,瑞竹里,高雄市鳳山區瑞竹里瑞竹路206之11號,"22.627877,120.369446",1,986.0,鳳山分局,,,,,,,
一般建築,FS5099,區瑞竹里,瑞竹里,高雄市鳳山區瑞竹里博愛路529之2號,"22.6303843,120.363260113642",1,1000.0,鳳山分局,,,,,,,
一般建築,FS6402,區鎮東里,鎮東里,高雄市鳳山區鎮東里黃埔路32巷34號,"22.622123,120.366421",1,1001.0,鳳山分局,,,,,,,
一般建築,FS5880,區興仁里,興仁里,高雄市鳳山區興仁里中山路231號,"22.624822,120.356506",1,1002.0,鳳山分局,,,,,,,
一般建築,FS5747,區文德里,文德里,高雄市鳳山區文德里文澄街95號,"22.643927,120.352559",1,1009.0,鳳山分局,,,,,,,
一般建築,FS0332,區大德里,大德里,高雄市鳳山區大德里11鄰林森路16號,"22.591391,120.330353",2,1010.0,鳳山分局,,,,,,,
一般建築,FS2386,區和德里,和德里,高雄市鳳山區和德里大東二路145號,"22.618352,120.358521",1,1020.0,鳳山分局,,,,,,,
一般建築,FS0330,區大德里,大德里,高雄市鳳山區大德里10鄰天興街195號,"22.590222,120.333073",1,1022.0,鳳山分局,,,,,,,
一般建築,FS0331,區大德里,大德里,高雄市鳳山區大德里10鄰天興街199號,"22.590055,120.33313",1,1022.0,鳳山分局,,,,,,,
一般建築,FS1588,區文德里,文德里,高雄市鳳山區文德里文化西路70巷12弄23號,"22.635674,120.348783",1,1027.0,鳳山分局,,,,,,,
