電腦編號,建築物名稱,里別,緯度,經度,避難樓層,容量,轄管分局,備註,placemark_address
E012,工廠,高原里,24.837762,"121.194744 ",B1,61.0,龍潭分局,,桃園市龍潭區高原里高原路367巷184號
E013,工廠,高平里,24.830395,"121.198099 ",B1,312.0,龍潭分局,,桃園市龍潭區高平里高楊北路109號
E014,工廠,高原里,24.840212,"121.206010 ",B1,81.0,龍潭分局,,桃園市龍潭區高原里中原路二段176號
E015,工廠,高原里,24.842222,"121.196449 ",B2,1347.0,龍潭分局,,桃園市龍潭區高原里中原路二段100號
E016,工廠,高原里,24.844008,"121.197417 ",B1,355.0,龍潭分局,,桃園市龍潭區高原里中原路二段46號
E017,工廠,高原里,24.844878,"121.197852 ",B1,381.0,龍潭分局,,桃園市龍潭區高原里中原路二段46號
E018,工廠,高原里,24.820839,"121.190929 ",B1,201.0,龍潭分局,,桃園市龍潭區高原里中原路三段390號
E020,工廠,高平里,24.824232,"121.192048 ",B1,213.0,龍潭分局,,桃園市龍潭區高平里龍源路800號
E023,工廠,高原里,24.818276,"121.220961 ",B1,41.0,龍潭分局,,桃園市龍潭區高原里福源路138號
E024,工廠,高原里,24.827411,"121.188239 ",B1,374.0,龍潭分局,,桃園市龍潭區高原里高楊北路451巷100號
E025,工廠,高平里,24.844291,"121.200005 ",B1,188.0,龍潭分局,
E026,工廠,高原里,24.828521,"121.206261 ",B1,1132.0,龍潭分局,,桃園市龍潭區高原里高楊北路451巷100號
E027,工廠,高原里,24.844291,"121.200005 ",B1,531.0,龍潭分局,,桃園市龍潭區高原里高楊北路451巷100號
E028,工廠,高原里,24.844291,"121.200005 ",B1,31.0,龍潭分局,,桃園市龍潭區高原里福源路138號
E029,工廠,高原里,24.827411,"121.188239 ",B1,54.0,龍潭分局,,桃園市龍潭區高原里福源路138號
E030,工廠,高原里,24.827411,"121.188239 ",B1,60.0,龍潭分局,,桃園市龍潭區高原里福源路138號
E031,工廠,高原里,24.827411,"121.188239 ",B1,251.0,龍潭分局,,桃園市龍潭區高原里福源路138號
E035,工廠,高原里,24.827411,"121.188239 ",B1,233.0,龍潭分局,,桃園市龍潭區高原里橫岡下4-4號
E037,工廠,高平里,24.827411,"121.188239 ",B1,161.0,龍潭分局,,桃園市龍潭區高平里高楊南路320巷13弄8號
E038,工廠,渴望里,24.832274,"121.213810 ",B2,944.0,龍潭分局,,桃園市龍潭區渴望里渴望路205巷66號
E039,工廠,渴望里,24.837984,"121.187021 ",B2,2407.0,龍潭分局,,桃園市龍潭區渴望里渴望路237巷01號
E040,學校,高原里,24.837309,"121.187662 ",B2,448.0,龍潭分局,,桃園市龍潭區高原里高原路568號
E041,工廠,高原里,24.830126,"121.193890 ",B1,6622.0,龍潭分局,,桃園市龍潭區高原里龍源路245號
E042,工廠,高原里,24.836527,"121.189363 ",B2,315.0,龍潭分局,,桃園市龍潭區高原里龍源路245號
E043,學校,高平里,24.823552,"121.211649 ",B1,9827.0,龍潭分局,,桃園市龍潭區高平里中豐路高平段418號
E044,學校,高平里,24.831948,"121.208634 ",B2,2296.0,龍潭分局,,桃園市龍潭區高平里中豐路高平段418號
E045,台灣石油公司,高平里,,,B1,66.0,龍潭分局,
E046,學校,高平里,24.838959,"121.209874 ",B1,323.0,龍潭分局,,桃園市龍潭區高平里中豐路高平段418號
E047,工廠,高原里,24.831948,"121.208634 ",B1,2613.0,龍潭分局,,桃園市龍潭區高原里中原路二段188號
E048,工廠,高原里,24.841629,"121.196306 ",B1,346.0,龍潭分局,,桃園市龍潭區高原里中原路一段360號
E049,工廠,渴望里,24.850259,"121.200180 ",B3,20701.0,龍潭分局,,桃園市龍潭區渴望里新和路1號
E050,學校,渴望里,24.847031,"121.186323 ",B1,830.0,龍潭分局,,桃園市龍潭區渴望里渴望路660巷50弄1號
